#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/p2at_met_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
27844314100082;1.95213;1.44576;15;0.999239 0.0203671 0.0332715 0.529009 -0.0306364 0.937702 0.346086 -0.807434 -0.02415 -0.346842 0.937613 -9.61202 0 0 0 1 
27844314100083;0.583263;0.216823;15;0.965805 0.00648176 0.259188 0.392302 -0.0271844 0.996709 0.0763708 -0.0969154 -0.25784 -0.0808051 0.962803 -6.68699 0 0 0 1 
27844314100084;0.503644;0.46859;16;0.990928 -0.00394433 0.134335 0.136094 -0.0306051 0.966682 0.254142 -0.61401 -0.130862 -0.255948 0.957792 -10.0157 0 0 0 1 
27844314100085;0.720603;0.449966;15;0.997593 0.0292105 0.0628841 1.12842 -0.0434715 0.970037 0.239037 -0.868355 -0.0540175 -0.241195 0.968972 -8.82843 0 0 0 1 
27844314100086;1.70425;1.35366;16;0.995897 0.0494338 -0.0758007 1.20174 -0.0227878 0.947616 0.318598 -0.881056 0.0875794 -0.315563 0.944854 -9.51176 0 0 0 1 
27844314100087;1.08193;0.870093;14;0.978049 -0.0336411 -0.205644 -1.76762 0.0062555 0.991177 -0.132395 -0.524833 0.208283 0.128202 0.96963 5.89723 0 0 0 1 
27844314100088;1.41218;0.800821;14;0.998049 -0.0165226 0.0602013 -0.508372 0.0218439 0.995807 -0.0888352 0.0142783 -0.0584811 0.0899769 0.994225 3.45859 0 0 0 1 
27844314100089;0.394008;0.308117;14;0.998513 0.011449 -0.0532942 0.0708385 -0.0121595 0.999841 -0.013027 -0.133142 0.0531365 0.0136557 0.998494 1.08799 0 0 0 1 
27844314100090;1.35838;0.708515;15;0.990603 -0.0390626 -0.131069 -1.29381 0.00348925 0.965251 -0.261302 -1.45272 0.136722 0.258389 0.956317 8.32196 0 0 0 1 
27844314100091;1.04859;1.01096;15;0.999402 -0.00292691 -0.0344621 -0.271664 0.00545205 0.997287 0.0734087 0.221087 0.0341538 -0.0735526 0.996706 -1.89174 0 0 0 1 
27844314100093;0.967031;0.455978;14;0.993998 -0.0629418 -0.0894801 -6.2827 0.0502628 0.989227 -0.13749 0.270556 0.09717 0.132167 0.986453 17.107 0 0 0 1 
27844314100094;1.92323;0.264114;16;0.97209 0.057555 -0.227439 3.48508 -0.0113969 0.979882 0.199254 -0.843392 0.234332 -0.191101 0.953189 -8.23759 0 0 0 1 
27844314100095;0.873202;0.778555;14;0.992252 -0.00224699 0.124224 0.847349 -0.0390682 0.943477 0.329127 -5.33064 -0.117942 -0.33143 0.936079 -35.7047 0 0 0 1 
27844314100096;0.430323;0.603159;14;0.989164 0.0350874 -0.142562 2.78051 -0.0340433 0.999373 0.00975672 -1.13726 0.142815 -0.00479769 0.989738 4.45276 0 0 0 1 
27844314100097;1.73872;0.244409;28;0.999387 0.0349789 -0.0013657 4.4838 -0.0349677 0.99936 0.00752718 0.263861 0.00162812 -0.00747481 0.999971 0.786214 0 0 0 1 
27844314100098;0.721991;0.543077;14;0.999931 0.00903106 0.00750901 1.28958 -0.01004 0.989012 0.147493 -0.808812 -0.00609448 -0.147558 0.989035 -13.7228 0 0 0 1 
27844314100099;0.836004;0.254876;29;0.992422 -0.11496 -0.0433942 -12.2601 0.1175 0.991174 0.0613805 3.82915 0.0359549 -0.0660141 0.997171 -5.37303 0 0 0 1 
27844314100100;2.4061;0.307239;18;0.999549 -0.0274883 -0.012103 -2.43425 0.02975 0.961489 0.273227 -0.530921 0.00412634 -0.273464 0.961873 -23.6884 0 0 0 1 
27844314100101;0.366989;0.489941;14;0.999777 0.0133509 -0.0163442 1.47028 -0.00571988 0.916895 0.399088 -6.60252 0.0203141 -0.398905 0.916767 -38.2476 0 0 0 1 
27844314100102;1.52564;1.32593;14;0.974867 -0.040639 0.219051 -3.8263 0.0923513 0.968483 -0.231325 -1.15172 -0.202747 0.245741 0.947895 16.7896 0 0 0 1 
27844314100103;2.09748;0.312353;14;0.999918 0.00564449 -0.0114906 1.25717 -0.00557753 0.999967 0.0058509 -0.503473 0.0115233 -0.00578634 0.999917 -2.52862 0 0 0 1 
27844314100104;0.507469;0.362964;14;0.998991 0.0443513 -0.00713309 4.51935 -0.0442557 0.998935 0.0130517 -1.56815 0.00770435 -0.0127228 0.999889 -1.49816 0 0 0 1 
27844314100105;1.7041;1.88984;13;0.998635 -0.0431182 0.0294721 -3.82957 0.0472781 0.986098 -0.159297 -0.273024 -0.0221938 0.160473 0.986791 14.5507 0 0 0 1 
27844314100106;0.621555;0.305253;16;0.975213 0.0277347 -0.219523 1.60708 -0.00679335 0.995399 0.0955805 -0.481378 0.221164 -0.0917201 0.970914 -1.54994 0 0 0 1 
27844314100107;0.153647;0.233705;16;0.997128 -0.0752783 -0.00828004 -7.35839 0.0752709 0.997162 -0.00119273 2.56003 0.00834633 0.000566056 0.999965 0.353071 0 0 0 1 
27844314100108;1.53872;0.213841;25;0.998775 0.0311904 -0.0384223 3.99937 -0.0361479 0.990057 -0.135946 -1.59928 0.0338 0.137169 0.989971 15.8195 0 0 0 1 
27844314100109;1.60611;0.645577;14;0.999209 -0.0215964 -0.0333806 -2.56887 0.0238262 0.997407 0.0679102 0.496724 0.0318274 -0.0686518 0.997133 -7.0238 0 0 0 1 
27844314100110;2.36031;0.89545;20;0.999655 0.0259149 -0.00419991 3.53765 -0.0261936 0.995305 -0.0931763 -2.40113 0.00176553 0.0932542 0.995641 11.1372 0 0 0 1 
27844314100111;0.227132;0.273221;14;0.96785 0.0577261 -0.244814 3.80444 -0.00970119 0.981151 0.192998 -1.25143 0.25134 -0.184419 0.950167 -9.19672 0 0 0 1 
