#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam3_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam3 -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
39885980090105;0.47354;0.385783;26;0.980946 0.192408 0.026896 -0.973508 -0.19301 0.980952 0.0219123 -0.122477 -0.0221676 -0.026686 0.999398 0.150199 0 0 0 1 
39885980090106;0.459683;0.209993;20;0.953648 0.167121 -0.250251 -0.608049 -0.140487 0.982676 0.12088 0.329949 0.266118 -0.0801201 0.960605 -0.442766 0 0 0 1 
39885980090107;0.891834;0.734897;23;0.968099 -0.238516 0.0767754 0.715327 0.238926 0.97103 0.00392703 -0.121451 -0.0754878 0.0145419 0.997041 0.043424 0 0 0 1 
39885980090108;0.424446;0.196829;32;0.89272 -0.185909 0.410475 0.430401 0.143337 0.980769 0.132467 0.135326 -0.427208 -0.0594201 0.902199 0.479338 0 0 0 1 
39885980090109;0.495711;0.240926;26;0.955715 0.294295 -1.70127e-05 -1.39456 -0.293989 0.954721 0.0455988 0.829013 0.0134358 -0.0435744 0.99896 0.371713 0 0 0 1 
39885980090110;0.968235;0.560535;39;0.879205 0.409405 0.243693 -1.79888 -0.453613 0.875727 0.165338 1.18728 -0.145718 -0.255908 0.955655 1.9786 0 0 0 1 
39885980090111;0.425117;0.149854;20;0.998541 0.0499833 0.0204446 -0.368257 -0.0505426 0.998334 0.0278211 0.256551 -0.0190199 -0.0288139 0.999404 0.654822 0 0 0 1 
39885980090112;0.465914;0.436059;36;0.898497 0.435224 -0.0572971 -1.96037 -0.434596 0.863514 -0.255872 1.10993 -0.0618848 0.254801 0.965011 -0.894916 0 0 0 1 
39885980090113;0.34947;0.141803;24;0.993206 0.111237 0.0341919 -0.618178 -0.11607 0.925709 0.359986 0.55719 0.00839189 -0.361509 0.932331 1.5253 0 0 0 1 
39885980090114;0.0961654;0.103987;17;0.996445 0.0653561 -0.0531524 -0.35564 -0.0649827 0.997848 0.00872542 0.157091 0.0536083 -0.00524042 0.998548 -0.130035 0 0 0 1 
39885980090115;0.726185;0.337651;31;0.981906 -0.112734 -0.152156 0.138141 0.105931 0.993006 -0.0521273 0.278406 0.156968 0.0350661 0.986981 0.691506 0 0 0 1 
39885980090116;0.788969;0.515096;42;0.957605 -0.286749 -0.0277186 0.979801 0.283571 0.955192 -0.0848293 0.500121 0.0508013 0.0733728 0.99601 0.505518 0 0 0 1 
39885980090117;0.478045;0.208184;17;0.995401 0.0516126 0.0807002 -0.319897 -0.0529203 0.998499 0.0141485 0.232045 -0.0798488 -0.0183541 0.996638 0.71998 0 0 0 1 
39885980090118;0.326438;0.316997;22;0.99293 -0.117274 0.0183676 0.365116 0.116942 0.992972 0.0182145 0.204087 -0.0203746 -0.0159378 0.999665 0.267196 0 0 0 1 
39885980090119;0.735474;0.325059;21;0.978951 -0.124118 0.162019 0.419625 0.131164 0.990794 -0.0335025 0.0110702 -0.156369 0.0540483 0.986219 0.763212 0 0 0 1 
39885980090120;0.723848;0.120174;28;0.992884 0.00201644 0.119071 -0.247643 0.00881102 0.995872 -0.0903366 0.677379 -0.118761 0.0907429 0.988768 0.526344 0 0 0 1 
39885980090121;0.394688;0.314127;22;0.998241 0.0561156 -0.0191532 -0.312429 -0.0582513 0.988428 -0.140061 -0.084539 0.0110719 0.14093 0.989958 -0.216941 0 0 0 1 
39885980090122;0.722168;0.332211;24;0.980434 0.19254 0.0409506 -0.971376 -0.191429 0.981062 -0.0295431 0.416601 -0.0458633 0.0211259 0.998724 0.878586 0 0 0 1 
39885980090124;0.340489;0.0125437;24;0.995012 0.0996286 0.00492973 0.281727 -0.0996204 0.995024 -0.00187701 -0.665289 -0.0050922 0.00137654 0.999986 -0.366893 0 0 0 1 
39885980090125;0.370091;0.0144292;39;0.910927 0.0199092 0.412088 -0.402485 -0.0548947 0.995803 0.0732354 -0.253454 -0.4089 -0.0893335 0.908196 -0.988009 0 0 0 1 
39885980090126;0.34208;0.0185718;36;0.888237 0.238528 0.392607 0.536077 -0.25389 0.967143 -0.0131864 -0.524512 -0.382852 -0.0879662 0.919612 -0.633875 0 0 0 1 
39885980090127;0.0863411;0.0296368;19;0.995657 -0.0146529 -0.0919331 -0.0284659 0.020081 0.998091 0.0583999 4.72196e-05 0.0909019 -0.0599924 0.994051 -0.0183592 0 0 0 1 
39885980090128;0.358883;0.0214175;36;0.972884 0.163034 0.164061 0.648662 -0.170367 0.984875 0.0315651 0.000228391 -0.156434 -0.0586598 0.985945 0.191471 0 0 0 1 
39885980090129;0.382249;0.0418542;48;0.936526 0.350563 0.00505671 1.36716 -0.35057 0.936537 0.00052969 -0.805919 -0.00455011 -0.0022688 0.999987 -0.0323844 0 0 0 1 
39885980090130;0.323168;0.0341541;35;0.975368 0.172237 -0.137811 0.859512 -0.188602 0.97517 -0.116069 -0.0791603 0.114398 0.139202 0.983634 0.341851 0 0 0 1 
39885980090131;0.505537;0.0292184;43;0.994994 -0.0996278 -0.00776334 -0.805865 0.098998 0.993322 -0.0592509 -0.624715 0.0136145 0.0581858 0.998213 -0.208091 0 0 0 1 
39885980090132;0.44134;0.0243864;49;0.999112 0.0237249 -0.0348251 -0.601745 -0.0272 0.994313 -0.102969 0.0961622 0.0321841 0.103825 0.994075 0.802179 0 0 0 1 
39885980090133;0.275576;0.0293408;30;0.999156 -0.0407168 -0.00536693 -0.597843 0.0407247 0.999169 0.00137283 -0.0981947 0.00530658 -0.00159024 0.999985 -0.146491 0 0 0 1 
39885980090134;0.264805;0.0301022;34;0.984164 -0.126042 0.124641 -0.442615 0.153426 0.957861 -0.242823 0.0732006 -0.0887828 0.258101 0.96203 0.975424 0 0 0 1 
39885980090135;0.321182;0.0183928;44;0.982621 0.183139 0.0302681 0.221492 -0.177751 0.97534 -0.130829 -0.20934 -0.0534815 0.123175 0.990943 0.692544 0 0 0 1 
