#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_summer_local.txt /home/point_clouds_registration_benchmark//eth/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
2318808360070;0.327797;0.0104088;23;0.995656 0.0585362 0.0724118 0.496346 -0.0544883 0.996905 -0.0566689 0.315127 -0.0755048 0.0524771 0.995764 0.0872248 0 0 0 1 
2318808360071;0.127608;0.0106523;21;0.989226 0.122036 0.0808616 -0.427981 -0.122581 0.992457 0.00179374 0.761815 -0.0800327 -0.0116865 0.996724 0.447664 0 0 0 1 
2318808360072;0.27755;0.0110243;35;0.962964 -0.262672 -0.0608621 0.728056 0.26244 0.964875 -0.0119137 -1.15071 0.0618537 -0.00450023 0.998075 -0.542516 0 0 0 1 
2318808360073;0.377754;0.00888516;32;0.992441 -0.0636164 0.104948 -0.00737961 0.0804158 0.983088 -0.164534 0.0426926 -0.0927056 0.17173 0.980772 -0.672106 0 0 0 1 
2318808360074;0.367604;0.331344;13;0.993487 -0.113945 -0.000864636 0.564505 0.113941 0.993481 -0.00353638 -0.922255 0.00126195 0.00341483 0.999993 0.0710242 0 0 0 1 
2318808360075;0.223733;0.00741974;32;0.96354 -0.0148417 0.267153 0.0649393 0.0126123 0.99987 0.010059 -0.245785 -0.267268 -0.00632285 0.963602 1.64484 0 0 0 1 
2318808360076;0.344651;0.00989763;42;0.993394 -0.114267 -0.0105602 0.841953 0.113468 0.964367 0.239002 -0.813318 -0.017126 -0.238621 0.970962 1.26363 0 0 0 1 
2318808360077;0.167206;0.00925655;22;0.994662 0.0299627 0.0987447 -0.0200136 -0.0329087 0.999056 0.0283416 0.454294 -0.0978023 -0.0314399 0.994709 0.552686 0 0 0 1 
2318808360078;0.455663;0.0136002;46;0.926313 0.36894 0.0763418 -0.533236 -0.374777 0.923072 0.0864922 1.99592 -0.0385585 -0.10873 0.993323 -0.157928 0 0 0 1 
2318808360079;0.349782;0.0095526;34;0.990139 0.0803062 0.114786 -0.208565 -0.0966063 0.984801 0.144338 0.512136 -0.10145 -0.154004 0.982848 1.76116 0 0 0 1 
2318808360080;0.31557;0.0102646;51;0.992412 0.0424507 -0.115399 0.0476226 0.00535841 0.922691 0.385502 -0.452537 0.122843 -0.383195 0.915462 0.469935 0 0 0 1 
2318808360081;0.265138;0.0127416;35;0.993913 0.0748665 -0.0808148 -0.0817864 -0.0923431 0.966224 -0.240591 1.12414 0.060073 0.246589 0.967257 -0.794683 0 0 0 1 
2318808360082;0.291619;0.0128528;48;0.980196 0.128005 -0.151097 0.0124454 -0.169076 0.938187 -0.302024 1.6166 0.103097 0.32159 0.94125 -1.49038 0 0 0 1 
2318808360083;0.406111;0.00999174;26;0.989082 -0.146545 0.0155255 -0.0128301 0.144966 0.986499 0.076188 -0.939435 -0.0264809 -0.0731055 0.996973 -0.372696 0 0 0 1 
2318808360084;0.25521;0.00914157;46;0.99942 0.0333772 -0.00677025 0.0762599 -0.0337389 0.943222 -0.330445 0.823464 -0.00464349 0.330482 0.943801 -0.890529 0 0 0 1 
2318808360085;0.097134;0.011603;17;0.999113 -0.0121721 0.0403095 -0.0428904 0.011113 0.99959 0.0263951 -0.0246584 -0.0406142 -0.0259237 0.998839 0.486977 0 0 0 1 
2318808360086;0.630308;0.488461;13;0.996232 0.0272115 -0.0823491 0.102825 -0.0176358 0.993226 0.11485 -0.230639 0.0849166 -0.112965 0.989964 -0.310263 0 0 0 1 
2318808360087;0.164964;0.012202;24;0.988822 0.144739 0.0357991 -0.34805 -0.140346 0.984598 -0.104263 1.07353 -0.0503386 0.0980729 0.993905 0.00117899 0 0 0 1 
2318808360088;0.426784;0.0129927;39;0.920053 0.210221 0.330621 -0.286041 -0.141283 0.965103 -0.220487 1.10477 -0.365435 0.156149 0.917646 2.24835 0 0 0 1 
2318808360089;0.0156956;0.00953171;13;0.999789 -0.018166 -0.00961735 0.0744282 0.0183348 0.999674 0.0177574 -0.130613 0.00929163 -0.01793 0.999796 -0.00754423 0 0 0 1 
2318808360090;0.105965;0.00981938;15;0.999906 0.00646673 -0.0121225 -0.172539 -0.00659665 0.999921 -0.0107083 0.187668 0.0120523 0.0107873 0.999869 -0.0112584 0 0 0 1 
2318808360091;0.471367;0.0102436;45;0.94204 -0.0876759 -0.323842 0.915672 0.0113777 0.973043 -0.230341 0.908465 0.335308 0.213306 0.917643 -2.80626 0 0 0 1 
2318808360093;0.358587;0.0107243;26;0.994224 0.0956197 0.0487391 -0.143426 -0.0964244 0.995236 0.0144296 0.96317 -0.0471271 -0.0190459 0.998707 -0.490285 0 0 0 1 
2318808360094;0.104341;0.0108224;19;0.996908 0.0784806 0.00390985 0.118962 -0.0783108 0.996388 -0.0328456 0.315411 -0.00647347 0.0324379 0.999453 0.143585 0 0 0 1 
2318808360095;0.369651;0.0102626;38;0.954179 -0.299017 -0.0114585 0.496907 0.298627 0.953981 -0.0272553 -1.28741 0.019081 0.0225846 0.999563 -0.745805 0 0 0 1 
2318808360096;0.316121;0.00787029;21;0.999483 0.0319481 -0.00364588 0.701307 -0.0318988 0.999409 0.0128489 0.309222 0.00405422 -0.012726 0.999911 0.358009 0 0 0 1 
2318808360097;0.369151;0.0110013;49;0.912862 0.287697 0.289679 0.141136 -0.276434 0.957696 -0.0800201 1.15026 -0.300446 -0.00702987 0.953773 1.10155 0 0 0 1 
