#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_autumn_local.txt /home/point_clouds_registration_benchmark//eth/wood_autumn -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
26875431820091;0.394578;0.0164154;22;0.992943 0.118102 0.0107626 0.257933 -0.118159 0.992983 0.0048615 0.502155 -0.0101129 -0.00609889 0.99993 -0.759778 0 0 0 1 
26875431820093;0.345934;0.0261462;36;0.933425 -0.311926 -0.177256 2.62101 0.304948 0.950076 -0.0660451 -1.16216 0.189008 0.00759418 0.981946 -0.625262 0 0 0 1 
26875431820094;0.529735;0.0186977;33;0.939668 0.283032 0.192139 -2.56447 -0.269753 0.958464 -0.0926305 1.89824 -0.210375 0.035212 0.976986 0.619729 0 0 0 1 
26875431820095;0.39088;0.0205899;30;0.962412 -0.0106892 -0.271384 0.301626 0.00520594 0.999768 -0.0209168 -0.143197 0.271544 0.0187178 0.962244 -0.796568 0 0 0 1 
26875431820096;0.29099;0.0145113;38;0.969664 0.155936 -0.188245 -0.472128 -0.194191 0.95914 -0.20577 1.22716 0.148467 0.236083 0.960324 -2.29839 0 0 0 1 
26875431820097;0.411668;0.0174834;32;0.959081 0.281438 0.0309093 -1.7989 -0.281112 0.959565 -0.0145295 2.40594 -0.0337487 0.00524597 0.999417 0.107198 0 0 0 1 
26875431820098;0.305728;0.0195014;26;0.963353 -0.201125 0.177481 0.977897 0.210156 0.977096 -0.0334476 -0.908222 -0.166689 0.0695205 0.983556 0.215271 0 0 0 1 
26875431820099;0.324227;0.285108;11;0.996458 -0.0837113 -0.00798371 0.690343 0.0839521 0.995774 0.0372376 -0.301881 0.00483277 -0.037776 0.999275 0.174244 0 0 0 1 
26875431820100;0.476247;0.0216816;27;0.972709 -0.231211 -0.019451 1.92979 0.231519 0.972708 0.0154316 -0.498561 0.0153522 -0.0195138 0.999692 -0.562694 0 0 0 1 
26875431820101;0.325622;0.0200879;38;0.953871 0.256212 0.156476 -1.78652 -0.193698 0.923444 -0.331259 1.79678 -0.22937 0.285669 0.930474 -0.700861 0 0 0 1 
26875431820102;0.315339;0.0215179;34;0.975241 0.221105 0.00416799 -1.20431 -0.21729 0.961575 -0.167803 1.22577 -0.04111 0.162743 0.985812 -1.2462 0 0 0 1 
26875431820103;0.395286;0.020325;21;0.996873 -0.0786891 0.00727162 0.325894 0.0787556 0.99685 -0.00935847 -0.322107 -0.00651231 0.00990188 0.99993 -0.779881 0 0 0 1 
